Customer Name,Logo Name,Contract Start Date,Contract End Date,Industry Sector,Application,Geography,Owner,Current ARR,Recognized ARR,Services Revenue,Status (R/G/Y),Last QBR,Last Leadership Touchpoint,Notes
AIRBUS SAS,Airbus,15/12/23,28/02/26,Commercial Aerospace,SC&M,EU,Bhavana ,767340,767340,0,G,,,
AFRL,US Air Force,21/09/21,26/05/25,Government & Defense,APM,NAM,,1800000,1800000,0,,,,
Aramco Trading Company,Saudi Aramco,01/01/24,31/12/26,Transportation & Logistics,SC&M,MEA,Bhavana ,372400,372400,0,R,,,
BAE Systems,BAE Systems,25/07/24,24/07/29,Commercial Aerospace,APM,NAM,Bhavana,2650000,1000000,0,Y,,Feb 4th Steer Co,Detailed status slide attached
Baylor School,Baylor School,45225,03/04/27,Education,Computer Vision,NAM,Bhavana,17881.33,17881.33,0,Y,,TBD,Weapons Detection use case validated with the latest video received.  Will turn to green once Baylor validates.  Samantha/Bhavana working on getting onsite visit set up
Britannia Limited,Britannia Limited,,31/12/25,Warehouse,Computer Vision,APAC,Dinesh,69107,0,0,G,,,Deployment
Core9 Ventures (Pvt.) Ltd.,Core9 Ventures (Pvt.) Ltd.,05/07/23,30/07/30,Industrial Manufacturing,Computer Vision,APAC,TK,4680,4680,0,Y,,Weekly touchbase with Avi and TK,"Nestle issues resolution updated to Core 9 who will discuss with Nestle and finalize the week of Feb 24th
CHT Issues resolution updated.  2 use cases require model re-training.  Rest of the use cases resolution updated.  Core 9 to take it up with CHT the week of Feb 24th"
Cory Environmental,Cory Environmental,29/11/22,28/11/25,Environmental & Waste Services,Computer Vision,NAM,TK,128099,128099,0,G,,45707,Support
CP Plus,CP Plus,45492,18/07/28,Retail,Computer Vision,APAC,TK,1000000,0,0,G,,Weekly touchbase between Avi & Anup,McDonalds POC in progress and Reliance Enterprise POC is going to start.  Pavan is assigned as a single point of contact for CPPlus accounts from the Services team
Datema Mobility AB,,,31/12/25,Technology,Silverline,APAC,Dinesh,150000,150000,0,G,,,"Yet to be renewed, TK, Dinesh, Prakhar working it"
Finnsementti Oy,Finnsementti Oy,29/03/24,30/04/26,Industrial Manufacturing,Computer Vision,EU,TK,10000,10000,0,G,,,TK working with Tony to set up contact with customer
Flipkart/JCI (Assert),Flipkart,25/08/22,24/08/25,Retail,Computer Vision,APAC,Dinesh,7095,7095,0,R,,,"Support, not renewing"
GE Power,GE,01/05/24,30/04/25,Renewables,APM,APAC,TK,0,50000,0,G,,,TK working with Mark to set up contact with customer
Greif,Greif,30/09/22,31/12/24,Transportation & Logistics,Computer Vision,NAM,Bhavana ,0,0,0,R,,Week of Feb 24th - Bhavana & Gunja,Bhavana and Gunja working on renewal
Halliburton,Halliburton,06/04/24,10/05/27,Oil & Gas,Computer Vision,NAM,Bhavana,72540,18135,0,R,,Feb 9th,"Use case is being validated, expected to be resolved by end of Feb"
Heineken Ireland Sales Limited,Heineken,01/01/25,31/12/26,Food & Beverage,Computer Vision,EU,Dinesh,40000,40000,0,G,,,Order form received for renewal
HPCL ,HPCL,16/06/21,15/06/26,Oil & Gas,Computer Vision,APAC,Dinesh,338530.03,338530.03,0,G,,Feb 19th,Support
Invenergy Services LLC,Invenergy ,22/12/23,31/12/24,Renewables,APM,NAM,Bhavana,0,0,0,R,,,Sandeep and Tk working on renewal
Katz Hillel ,Katz Hillel ,45457,31/07/25,Education,Computer Vision,NAM,Bhavana,36100,36100,0,Y,,,We have weeklyi customer touchbase.  Internal validation of all use cases complete and waiting for confirmation from customer
Larsen & Toubro Limited,Larsen & Toubro Limited,,31/12/25,Other,Computer Vision,APAC,Dinesh,170000,0,0,G,,,Deployment started. Need to finalize rollout plan
Liberty Hill ISD,Liberty Hill ISD,18/01/24,17/01/25,Education,Computer Vision,NAM,,0,0,0,R,,,Churned
